id,prepped_bfsentence_None,masked_sentence,a1,gt_q2
5a70f11a5542994082a3e40b,"Which dog breed, the Schapendoes or the Bull Terrier, has its origins in a greater number of other dog breeds? Schapendoes: The Schapendoes (] ) or Dutch Sheepdog, is a breed of dog originating in the Netherlands.","The Bull Terrier (Miniature) is a breed with origins in the extinct English White Terrier, the Dalmatian and the Bulldog.",Bull Terrier,From what breeds does the Bull Terrier originate?
5a7103b35542994082a3e4c0,"Which mountain, Masherbrum or Khunyang Chhish, is a taller mountain? Khunyang Chhish: Khunyang Chhish or Kunyang Chhish (Urdu: ‎ )is the second-highest mountain in the Hispar Muztagh, a subrange of the Karakoram mountains of Pakistan. Masherbrum: At 7821 m it is the 22nd highest mountain in the world and the 9th highest in Pakistan."," Its height, also sometimes given as 7823 m , is ranked 21st in the world and 8th in Pakistan.",Khunyang Chhish,How tall is Kunyang Chhish?
5a7108fa5542994082a3e4ef,"Which battle, the Battle of Cold Harbor, or the Second Battle of Bull Run, was fought first? Battle of Cold Harbor: The Battle of Cold Harbor was fought from May 31 to June 12, 1864, with the most significant fighting occurring on June 3.","The Second Battle of Bull Run or Battle of Second Manassas was fought August 28–30, 1862 in Prince William County, Virginia, as part of the American Civil War.",Second Battle of Bull Run,When was the Second battle of Bull Run fought?
5a710a1e5542994082a3e4fd,"What is the genus of the viral disease that has symptoms such as fever, chills, loss of appetite, nausea, muscle pains, and headaches, and has a chance of causing liver damage? Yellow fever: In most cases, symptoms include fever, chills, loss of appetite, nausea, muscle pains particularly in the back, and headaches. In about 15% of people within a day of improving, the fever comes back, abdominal pain occurs, and liver damage begins causing yellow skin.","Flavivirus is a genus of viruses in the family ""Flaviviridae"".",Flavivirus,What is the genus of Flavivirus?
5a710a915542994082a3e504,"Which of these men, Scott Treleaven and Edmund Mortimer, is credited with working in both films and photography? Edmund Mortimer (actor): Edmund Mortimer (21 August 1874 – 21 May 1944) was an American actor and film director. Lady Elizabeth Percy: Lady Elizabeth Percy (c. 1395 – 26 October 1436) was the daughter of Sir Henry Percy, known to history as 'Hotspur', and Elizabeth Mortimer.","Scott Treleaven is a Canadian artist whose work employs a variety of media including collage, film, video, drawing, photography and installation.",Scott Treleaven,In what media does Scott Treleaven work?
5a711bb55542994082a3e597,"Steven Covey, the father of Sean Covey, wrote what similar sounding title to The 7 Habits of Highly Effective Teens? Stephen Covey: Stephen Richards Covey (October 24, 1932 – July 16, 2012) was an American educator, author, businessman, and keynote speaker. The 7 Habits of Highly Effective Teens: The Seven Habits of Highly Effective Teens is a 1998 bestselling self-help book written by Sean Covey, the son of Stephen Covey. In 1999 Covey released a companion book entitled ""Daily Reflections For Highly Effective Teens""."," His most popular book was ""The 7 Habits of Highly Effective People"".",The 7 Habits of Highly Effective People,What book did Steven Covey write?
5a71224f5542994082a3e5c1,"When was the actor born who starred in Nambia: The Struggle for Liberation and played Roger Murtaugh in the ""Lethal Weapon"" film series? Namibia: The Struggle for Liberation: Namibia: The Struggle for Liberation is a 2007 epic film on the Namibian independence struggle against South African occupation as seen through the life of Sam Nujoma, the leader of the South West Africa People's Organisation and the first president of the Republic of Namibia. The film was written and directed by Charles Burnett, the African American filmmaker, and stars Carl Lumbly and Danny Glover. Danny Glover: He is well known for his leading role as Roger Murtaugh in the ""Lethal Weapon"" film series, ""The Color Purple"" (1985), ""To Sleep with Anger"" (1990), ""Predator 2"" (1990), and ""Angels in the Outfield"" (1994).","Danny Lebern Glover (born July 22, 1946) is an American actor, film director, and political activist.",22-Jul-46,When was Danny Glover born?
5a712beb5542994082a3e61c,"What Golden Globe Award actor starred in the film Little Fugitive? Little Fugitive (2006 film): Little Fugitive is a 2006 remake of the film of the same name. The film is set in present day Brooklyn and tells the story of 11-year-old Lenny (Nicolas Martí Salgado) who must take care of his 7-year-old brother, Joey (David Castro), while their father (Peter Dinklage) is in jail and their mother work long hours a nursing home. Tom Cruise filmography: In 1986, Cruise played a fighter pilot in the Tony Scott-directed action drama ""Top Gun"" (the highest-grossing film that year), and also starred opposite Paul Newman in the Martin Scorsese-directed drama ""The Color of Money""."," He has received numerous accolades, including a Golden Globe Award and two Primetime Emmy Awards.",Peter Dinklage,"Has Peter Dinklage or, Nicolas Marti Salgado, David Castro, or Tom Cruise won a Gonden Globe Award?"
5a712c4b5542994082a3e622,"What heritage site, known for a British explorer, is listed Seventeen Seventy Australia? James Cook: Captain James Cook (7 November 172814 February 1779) was a British explorer, navigator, cartographer, and captain in the Royal Navy.","Captain Cook's Landing Place is a heritage-listed site at Seventeen Seventy, Gladstone Region, Queensland, Australia.",Captain Cook's Landing Place,What heritage-listed site is at Seventeen Seventy in Australia?
5a7131565542994082a3e64f,"Q: Which actor played a role in the comedy series ""30 Rock"" as well as the drama series ""Mad Men""? A: Jon Hamm Jon Hamm: Jonathan Daniel Hamm (born March 10, 1971) is an American actor, director, and television producer best known for playing advertising executive Don Draper for the AMC television drama series, ""Mad Men"" (2007–2015). Anna Howard Shaw Day: The episode originally aired on the National Broadcasting Company (NBC) network in the United States on February 11, 2010."," ""Live Show"" featured appearances by Rachel Dratch, Bill Hader, Matt Damon, Jon Hamm, and Julia Louis-Dreyfus.",Jon Hamm,Did Jon Hamm or Anna Howard Shaw Day appear in 30 Rock?
5a7136e25542994082a3e67e,"What Hong Kong actor born in 1980 will star in ""Heart and Greed""? Heart and Greed: Heart and Greed () is an upcoming 2017 drama produced by TVB and Tencent Penguin Pictures. It stars Louise Lee, Ha Yu, Michelle Yim, Susanna Kwan, Bosco Wong, Vincent Wong, Sharon Chan, Eliza Sam, Louis Yuen, Priscilla Wong, Michael Tong, Nora Miao and Joseph Lee.","Bosco Wong Chung-chak (, born 13 December 1980) is a Hong Kong actor under TVB management and singer under East Asia Music.",Bosco Wong Chung-chak,"Of Louise Lee, Ha Yu, Michelle Yim, Susanna Kwan, Bosco Wong, Vincent Wong, Sharon Chan, Eliza Sam, Louis Yuen, Priscilla Wong, Michael Tong, Nora Miao and Joseph Lee., who was born in 1980 and is from Hong Kong?"
