id,prepped_bfsentence_None,masked_sentence,a1
5a70f11a5542994082a3e40b,"Which dog breed, the Schapendoes or the Bull Terrier, has its origins in a greater number of other dog breeds? Schapendoes: The Schapendoes (] ) or Dutch Sheepdog, is a breed of dog originating in the Netherlands.","The Bull Terrier (Miniature) is a breed with origins in the extinct English White Terrier, the Dalmatian and the Bulldog.",Bull Terrier
5a7103b35542994082a3e4c0,"Which mountain, Masherbrum or Khunyang Chhish, is a taller mountain? Khunyang Chhish: Khunyang Chhish or Kunyang Chhish (Urdu: ‎ )is the second-highest mountain in the Hispar Muztagh, a subrange of the Karakoram mountains of Pakistan. Masherbrum: At 7821 m it is the 22nd highest mountain in the world and the 9th highest in Pakistan."," Its height, also sometimes given as 7823 m , is ranked 21st in the world and 8th in Pakistan.",Khunyang Chhish
5a712c4b5542994082a3e622,"What heritage site, known for a British explorer, is listed Seventeen Seventy Australia? James Cook: Captain James Cook (7 November 172814 February 1779) was a British explorer, navigator, cartographer, and captain in the Royal Navy.","Captain Cook's Landing Place is a heritage-listed site at Seventeen Seventy, Gladstone Region, Queensland, Australia.",Captain Cook's Landing Place
5a7136e25542994082a3e67e,"What Hong Kong actor born in 1980 will star in ""Heart and Greed""? Heart and Greed: Heart and Greed () is an upcoming 2017 drama produced by TVB and Tencent Penguin Pictures. It stars Louise Lee, Ha Yu, Michelle Yim, Susanna Kwan, Bosco Wong, Vincent Wong, Sharon Chan, Eliza Sam, Louis Yuen, Priscilla Wong, Michael Tong, Nora Miao and Joseph Lee.","Bosco Wong Chung-chak (, born 13 December 1980) is a Hong Kong actor under TVB management and singer under East Asia Music.",Bosco Wong Chung-chak
5a7137dc5542994082a3e68a,"Kevin Wayne Durant was named what ?(An Award initiated following 1952-53 NBA Season? Kevin Durant: He has won an NBA championship, an NBA Most Valuable Player Award, the Bill Russell NBA Finals Most Valuable Player Award, the NBA All-Star Game Most Valuable Player Award, four NBA scoring titles, the NBA Rookie of the Year Award, and two Olympic gold medals.",The National Basketball Association's Rookie of the Year Award is an annual National Basketball Association (NBA) award given to the top rookie(s) of the regular season.,The National Basketball Association's Rookie of the Year
5a71380c5542994082a3e68b,"What iron-hulled steamship designed by Theodore Timby was The Orleans County Monitor Newspaper named after? USS Monitor: USS ""Monitor"" was an iron-hulled steamship. The unique design of the ship, distinguished by its revolving turret which was designed by American inventor Theodore Timby, was quickly duplicated and established the monitor type of warship."," An American Civil War veteran, he named it after the USS ""Monitor"".","USS ""Monitor"""
5a71474b5542994082a3e74f,"What was triggered by the resignation of Conservative MP Stephen Phillips on 4 November 2016 and was when Caroline Johnson became a Member of Parliament? Sleaford and North Hykeham by-election, 2016: It was triggered by the resignation of Conservative MP Stephen Phillips on 4 November 2016. Caroline Johnson: She has been the Member of Parliament (MP) for Sleaford and North Hykeham since the by-election there on 8 December 2016. Tory Boy: Recently it has been argued that Conservative Future has managed to change the image of young Conservatives from that given by the FCS.",The Sleaford and North Hykeham by-election was a by-election in England for the House of Commons constituency of Sleaford and North Hykeham held on 8 December 2016.,The Sleaford and North Hykeham by-election
5a714b645542994082a3e78b,"What year did Lindsey Broad star in the movie with Russell Brand and Jonah Hill? Lindsey Broad: Her film credits include ""21 Jump Street"", ""Don Jon"", and ""Get Him to the Greek"".","Get Him to the Greek is a 2010 American black comedy film written, produced and directed by Nicholas Stoller and starring Russell Brand and Jonah Hill.",2010
5a714dea5542994082a3e7a9,"Which 2009 animated film is from Japan, Summer Wars or The Secret of Kells? Romance of the Three Kingdoms (2009 animation): Romance of the Three Kingdoms is a 2009 animated television series joint produced by the Beijing Huihuang Animation Company of China and Future Planet of Japan. The Secret of Kells: The Secret of Kells is a 2009 French-Belgian-Irish animated fantasy film animated by Cartoon Saloon that premiered on 8 February 2009 at the 59th Berlin International Film Festival.","Summer Wars (Japanese: サマーウォーズ , Hepburn: Samā Wōzu ) is a 2009 Japanese animated science fiction film directed by Mamoru Hosoda, animated by Madhouse and distributed by Warner Bros.",Summer Wars
5a714f6f5542994082a3e7b3,"How many people live in the County serviced by The Collier Area Transit system? Collier Area Transit: Collier Area Transit (CAT) is the public transportation system in Collier County, Florida. Collier County, Florida: Collier County is a county in the U.S. state of Florida."," As of the 2010 census, the population was 321,520.","321,520"
