id,q1,a1,fc_masked,masked_sentence,masked_sentence_title,q2_gt
5a8b57f25542995d1e6f1371,Were Scott Derrickson and Ed Wood of the same nationality?,yes,"Scott Derrickson: Scott Derrickson (born July 16, 1966) is an American director, screenwriter and producer.","Edward Davis Wood Jr. (October 10, 1924 – December 10, 1978) was an American filmmaker, actor, writer, producer, and director.",Ed Wood,What was Ed Wood's nationality?
5a8c7595554299585d9e36b6,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,"Shirley Temple: As an adult, she was named United States ambassador to Ghana and to Czechoslovakia and also served as Chief of Protocol of the United States. Kiss and Tell (1945 film): Kiss and Tell is a 1945 American comedy film starring then 17-year-old Shirley Temple as Corliss Archer.","Shirley Temple Black (April 23, 1928 – February 10, 2014) was an American actress, singer, dancer, businesswoman, and diplomat who was Hollywood's number one box-office draw as a child actress from 1935 to 1938.",Shirley Temple,Can you tell me more about Shirley Temple?
5a85ea095542994775f606a8,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,"The Hork-Bajir Chronicles: With respect to continuity within the series, it takes place before book #23, ""The Pretender"", although the events told in the story occur between the time of ""The Ellimist Chronicles"" and ""The Andalite Chronicles"". The book is introduced by Tobias, who flies to the valley of the free Hork-Bajir, where Jara Hamee tells him the story of how the Yeerks enslaved the Hork-Bajir, and how Aldrea, an Andalite, and her companion, Dak Hamee, a Hork-Bajir, tried to save their world from the invasion. Animorphs: Animorphs is a science fantasy series of young adult books written by Katherine Applegate and her husband Michael Grant, writing together under the name K. A. Applegate, and published by Scholastic. It is told in first person, with all six main characters taking turns narrating the books through their own perspectives.","The Hork-Bajir Chronicles is the second companion book to the ""Animorphs"" series, written by K. A. Applegate.",The Hork-Bajir Chronicles,The Hork-Bajir Chronicles are part of what series?
5adbf0a255429947ff17385a,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,"Laleli Mosque: The Laleli Mosque (Turkish: ""Laleli Camii, or Tulip Mosque"" ) is an 18th-century Ottoman imperial mosque located in Laleli, Fatih, Istanbul, Turkey.","The Esma Sultan Mansion (Turkish: ""Esma Sultan Yalısı"" ), a historical yalı (English: waterside mansion ) located at Bosphorus in Ortaköy neighborhood of Istanbul, Turkey and named after its original owner Esma Sultan, is used today as a cultural center after being redeveloped.",Esma Sultan Mansion,What neighborhood is the Esma Sultan Mansion located in?
5a8e3ea95542995a26add48d,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City","Big Stone Gap (film): Big Stone Gap is a 2014 American drama romantic comedy film written and directed by Adriana Trigiani and produced by Donna Gigliotti for Altar Identity Studios, a subsidiary of Media Society.","Adriana Trigiani is an Italian American best-selling author of sixteen books, television writer, film director, and entrepreneur based in Greenwich Village, New York City.",Adriana Trigiani,Where is Adiana Trigiani based?
5abd94525542992ac4f382d2,2014 S/S is the debut album of a South Korean boy group that was formed by who?,YG Entertainment,2014 S/S: 2014 S/S is the debut album of South Korean group WINNER.,"Winner (Hangul: 위너), often stylized as WINNER, is a South Korean boy group formed in 2013 by YG Entertainment and debuted in 2014.",Winner (band),Who formed the group WINNER?
5a85b2d95542997b5ce40028,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,"Eenasul Fateh: Eenasul Fateh (Bengali: ঈনাসুল ফাতেহ ; born 3 April 1959), also known by his stage name Aladin, is a Bangladeshi-British cultural practitioner, magician, live artist and former international management consultant.","Management consulting is the practice of helping organizations to improve their performance, operating primarily through the analysis of existing organizational problems and the development of plans for improvement.",Management consulting,Can you tell me more about Eenasul Fateh?
5a87ab905542996e4f3088c1,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","Androscoggin Bank Colisée: The Androscoggin Bank Colisée (formerly Central Maine Civic Center and Lewiston Colisee) is a 4,000 capacity (3,677 seated) multi-purpose arena, in Lewiston, Maine, that opened in 1958.",The team played its home games at the Androscoggin Bank Colisée.,Lewiston Maineiacs,Where do the Lewiston Maineiacs play their home games?
5a7bbb64554299042af8f7cc,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,"Annie Morton: Annie Morton (born October 8, 1970) is an American model born in Pennsylvania. She has been photographed by Helmut Newton; Peter Lindbergh; Annie Leibovitz; Richard Avedon; Juergen Teller; Paul Jasmin, Mary Ellen Mark and Terry Richardson, and modeled for Donna Karan, Givenchy, Guerlain, Chanel, ""Harper's Bazaar"", ""Sports Illustrated"" and Victoria's Secret.","Terrence ""Uncle Terry"" Richardson (born August 14, 1965) is an American fashion and portrait photographer who has shot advertising campaigns for Marc Jacobs, Aldo, Supreme, Sisley, Tom Ford, and Yves Saint Laurent among others.",Terry Richardson,When was terry Richardson born?
5a8db19d5542994ba4e3dd00,Are Local H and For Against both from the United States?,yes,"Local H: Local H is an American rock band originally formed by guitarist and vocalist Scott Lucas, bassist Matt Garcia, drummer Joe Daniels, and lead guitarist John Sparkman in Zion, Illinois in 1987.","For Against is a United States post-punk/dream pop band from Lincoln, Nebraska.",For Against,Where is For Against from?
5a7166395542994082a3e814,"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song,"Kansas Song: Kansas Song (We’re From Kansas) is a fight song of the University of Kansas. University of Kansas: The main campus in Lawrence, one of the largest college towns in Kansas, is on Mount Oread, the highest elevation in Lawrence.","Two branch campuses are in the Kansas City metropolitan area: the Edwards Campus in Overland Park, and the university's medical school and hospital in Kansas City.",University of Kansas,What universities have branch campuses in the Kansas City metropolitan area?
5a877e5d5542993e715abf7d,"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",David Weissman,"David Weissman: His film credits include ""The Family Man"" (2000), ""Evolution"" (2001), and """"When in Rome"""" (2010). The Family Man: The Family Man is a 2000 American romantic comedy-drama film directed by Brett Ratner, written by David Diamond and David Weissman, and starring Nicolas Cage and Téa Leoni.",David Weissman is a screenwriter and director.,David Weissman,Can you tell me more about David Weissman?
5ab3b0bf5542992ade7c6e39,What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,"End of Days (film): The film follows former New York Police Department detective Jericho Cane (Schwarzenegger) after he saves a banker (Byrne) from an assassin, finds himself embroiled in a religious conflict, and must protect an innocent young woman (Tunney) who is chosen by evil forces to conceive the Antichrist with Satan. Oh My God (Guns N' Roses song): The song was sent out to radio stations in November 1999 as a promo for the soundtrack and the band.","""Oh My God"" is a song by Guns N' Roses released in 1999 on the soundtrack to the film ""End of Days"".",Oh My God (Guns N' Roses song),What song was a promo for End of Days?
5ab56e32554299637185c594,Are Random House Tower and 888 7th Avenue both used for real estate?,no,"Random House Tower: The Random House Tower, also known as the Park Imperial Apartments, is a 52-story mixed-use tower in New York City, United States, that is used as the headquarters of book publisher Random House and a luxury apartment complex.",It currently carries the Vornado Realty Trust corporate headquarters.,888 7th Avenue,What is 888 7th Avenue used for?
